Record_ID,Month,Shire_Class,Lscape_ID ,ID,Site_id,Tree_id,X_Coord,Y_Coord,Pellets,Genera,Genera2,Preference,DBH,Nitrate,Ammonium,Phosphorous,Lscape_PERC,Elevation
244,1,1,20,7,7,4,529844,6799885,1,1,1,6,21,1.329,32.749,210.248,9.43,4
247,1,1,20,7,7,7,529844,6799885,1,1,1,6,10,1.329,32.749,210.248,9.43,4
241,1,1,20,7,7,1,529844,6799885,1,1,1,5,20,1.329,32.749,210.248,9.43,4
249,1,1,20,7,7,9,529844,6799885,1,1,1,5,10,1.329,32.749,210.248,9.43,4
250,1,1,20,7,7,10,529844,6799885,1,1,1,5,68,1.329,32.749,210.248,9.43,4
252,1,1,20,7,7,12,529844,6799885,1,1,1,5,34,1.329,32.749,210.248,9.43,4
256,1,1,20,7,7,16,529844,6799885,1,1,1,5,47,1.329,32.749,210.248,9.43,4
257,1,1,20,7,7,17,529844,6799885,1,1,1,5,39,1.329,32.749,210.248,9.43,4
258,1,1,20,7,7,18,529844,6799885,1,1,1,5,14,1.329,32.749,210.248,9.43,4
262,1,1,20,7,7,22,529844,6799885,1,1,1,5,21,1.329,32.749,210.248,9.43,4
263,1,1,20,7,7,23,529844,6799885,1,1,1,5,56,1.329,32.749,210.248,9.43,4
267,1,1,20,7,7,27,529844,6799885,1,1,1,5,43,1.329,32.749,210.248,9.43,4
269,1,1,20,7,7,29,529844,6799885,1,1,1,5,32,1.329,32.749,210.248,9.43,4
270,1,1,20,7,7,30,529844,6799885,1,1,1,5,17,1.329,32.749,210.248,9.43,4
243,1,1,20,7,7,3,529844,6799885,1,4,4,4,56,1.329,32.749,210.248,9.43,4
254,1,1,20,7,7,14,529844,6799885,1,4,4,4,20,1.329,32.749,210.248,9.43,4
255,1,1,20,7,7,15,529844,6799885,1,4,4,4,24,1.329,32.749,210.248,9.43,4
266,1,1,20,7,7,26,529844,6799885,1,4,4,4,68,1.329,32.749,210.248,9.43,4
