ID,HSuit_1km,Suit_1km,Marg_1km,NotSuit_1km,Cleared_1km,HSuit_2_5km,Suit_2_5km,Marg_2_5km,NotSuit_2_5km,Cleared_2_5km,HSuit_5km,Suit_5km,Marg_5km,NotSuit_5km,Cleared_5km
7,1.19,2.72,0.01,9.18,86.9,2.46,4.35,1.94,7.6,83.64,2.95,7.21,1.7,11.33,76.81
10,0.51,5.58,3.23,10.29,80.39,1.93,4.74,1.8,8.57,82.96,4.32,7.67,1.79,15.33,70.89
11,5.03,6.99,2.86,9.7,75.43,3.17,6.74,1.63,9.01,79.45,2.75,9.21,1.87,14.4,71.78
13,0,0.49,0,1.14,98.37,2.81,1.53,1.03,6.5,88.13,8.68,2.09,2.88,11.58,74.77
14,12.42,1.7,2.74,19.61,63.53,5.79,4.02,1.42,9.99,78.78,7.92,2.42,1.98,11.54,76.14
15,0.44,0.52,0.82,5.73,92.49,1.84,0.69,1.26,8.06,88.14,5.71,2.49,3.07,11.44,77.3
16,13.8,0.22,0.75,4.84,80.4,2.74,0.87,1.55,7.84,87,5.22,2.36,2.78,10.66,78.99
17,2.36,0.51,0.88,3.65,92.6,3.44,1.53,1.11,7.61,86.31,5.19,2.79,1.75,9.54,80.73
18,5.66,10.03,2.9,9.71,71.71,3.14,8.2,1.41,11.79,75.47,2.82,10.79,2.19,15.94,68.27
24,3.93,18.21,0.87,11.63,65.36,3.66,9.15,1.62,17.31,68.26,2.4,12.71,2.72,15.74,66.43
27,3.16,8.58,5.32,8.4,74.55,6.07,5.83,2.94,13.93,71.23,6.65,5.98,2.51,17.13,67.73
29,9.34,10.16,4.39,13.84,62.27,11.11,4.5,1.88,14.44,68.07,9.65,2.69,2.07,11.17,74.42
33,12.47,10.99,1.4,17.59,57.55,13.04,5.16,1.86,17.56,62.37,9.8,3.17,2.07,11.18,73.78
35,10.28,10.46,2.95,16.83,59.48,9.28,4.38,1.56,13.85,70.92,8.84,2.84,1.75,11.26,75.31
36,12.11,3.02,1.56,17.8,65.51,16.82,4.53,2.22,18.7,57.72,11.01,3.62,2.41,11.95,71
37,18.92,0.29,1.59,26.59,52.62,20.04,4.1,3.35,20.59,51.92,12.24,4.54,2.58,12.85,67.78
39,18.5,0.23,1.23,15.07,64.97,15.11,3.67,1.81,16.31,63.09,12.31,4.96,2.77,13.81,66.14
40,21.9,6.34,13.31,22.98,35.48,22.83,6.27,6.05,21.31,43.54,14.21,7.34,2.89,13.76,61.81
43,33.57,2.6,2.53,17.3,44.01,15.35,1.5,2.2,15.44,65.5,14.58,2.71,2.14,10.72,69.85
47,20,1.44,1.33,12.79,64.45,13.41,0.8,1.94,13.59,70.26,14.94,3.09,2.15,10.62,69.2
48,29.84,3.55,2.62,23.29,40.7,20.7,2.02,2.14,14.86,60.28,13.52,1.23,1.77,11.62,71.85
54,25.92,1.5,1.66,15.87,55.05,16.98,2.49,2.65,15.81,62.06,13.55,0.81,1.66,11.5,72.47
55,40.71,0.89,8.18,13.87,36.35,23.05,5.92,3.24,12.56,55.24,23.83,4.91,4.23,11.35,55.68
58,37.44,8.31,9.65,15.24,29.37,25.91,6.98,3.35,11.04,52.72,27.25,4.98,4.83,11.5,51.44
59,14.42,0.8,2.19,6.51,76.08,24,2.28,2.3,10.91,60.52,25.36,7.99,5.86,10.76,50.01
60,24.65,5.26,5.16,17.55,47.37,28.91,5.46,4.46,10.18,51,29.1,6.45,5.92,11.36,47.16
61,42.23,5.35,24.28,10.61,17.54,36.11,5.45,6.94,12.06,39.45,38.97,6.02,6.23,9.15,39.63
72,37.62,1.89,16.26,12.35,31.88,43.35,4.4,6.74,10.75,34.75,40.09,7.14,6.15,8.31,38.32
73,33.51,6.88,4.58,11.98,43.05,30.61,8.04,7.4,10.51,43.43,36.58,4.8,6.29,9.87,42.46
74,41.99,8.01,12.11,23.78,14.1,39.15,9.59,11,21.94,18.32,37.95,9.78,8.31,14.75,29.21
75,31.9,8.27,6.67,17.82,35.33,28.57,12.26,8.15,16.79,34.24,37.19,10.49,8,15.91,28.41
78,34.4,19.74,13.12,17.97,14.77,29.83,12.96,8.14,16.65,32.42,31.64,9.37,7.83,16.25,34.91
79,33.63,19.91,12.58,22.95,10.93,34.93,13.56,8.99,15.71,26.81,31.21,9.61,8.45,16.55,34.18
80,47.92,17.68,9.31,11.26,13.84,40.77,13.8,8.59,15.89,20.95,30.51,9.2,9.38,16.64,34.28
81,65.35,18.48,8.46,7.15,0.56,44.65,14.82,7.98,15.44,17.11,31.13,9.43,9.3,17,33.15
83,29.51,7.04,8.35,11.36,43.74,24.15,18.98,5.37,10.32,41.18,28.43,5.86,6.07,12.15,47.49
84,23.86,19.31,11.81,18.18,26.84,22.83,12.63,6.04,14.18,44.33,30.31,7.61,5.87,12.16,44.06
85,36.22,11.96,4.45,20.01,27.36,27.1,14.78,7.43,12.88,37.82,36.19,4.49,7.3,10.48,41.54
87,23.79,25.52,13.25,14.79,22.64,25.82,15.23,6.77,14.18,38.01,33.69,6.21,6.19,11.16,42.75
96,40.61,34.1,10.35,6.88,8.06,24.22,18.18,5.89,10.97,40.74,36.41,4.32,6.77,11.19,41.32
97,35.78,27.99,8.23,6.4,21.6,23.2,19.96,5.7,10.18,40.95,32.74,4.01,6.39,11.46,45.39
98,52.36,16.15,6.31,17.93,7.25,44.52,13.54,8.48,15.46,18,36.21,10.17,9.34,16,28.28
99,44.93,16.72,6.98,20.36,11.01,39.31,6.66,10.17,21.27,22.59,39.69,9.56,8.26,13.94,28.55
123,5.68,23.48,6.2,7.83,56.8,1.76,24.77,4.67,7.38,61.42,3.7,24.44,7.48,8.49,55.9
127,3.12,53.56,5.14,6.55,31.62,2.29,38.47,10.29,19.15,29.8,4.5,25.5,9.65,18.46,41.89
148,1.71,12.48,4.93,3.11,77.77,2.46,6.59,1.43,3.4,86.12,3.71,6.72,1.88,7.28,80.42
150,12.68,8.16,0.25,13.04,65.87,7.02,10.92,0.5,7.23,74.33,2.61,6.1,1.11,5.06,85.12
154,17.75,0.55,11.72,18.93,51.05,28.56,5.96,7.2,17.42,40.86,38.93,8.79,8.89,13.6,29.79
155,35.48,1.53,2.58,22.72,37.69,35.83,7.51,7.5,16.27,32.89,40.05,7.48,8.63,13.5,30.34
156,38.15,14.89,10.97,13.18,22.81,27.69,8.62,5.51,12.17,46,41.34,5.37,8.2,10.26,34.83
159,0,1.51,10.27,4.83,83.39,2.11,5.11,1.74,4.96,86.08,3.49,6.9,1.01,5.71,82.89
162,1.44,3.68,8.24,0.72,85.93,1.88,5.07,1.73,6.02,85.29,3.38,6.61,1.02,5.89,83.1
166,1.26,0.79,5.3,3.03,89.62,3.05,6.59,1.89,5.88,82.59,3.39,7.07,1,5.58,82.96
172,43.47,12.03,5.41,7.58,31.51,30.64,5.7,5.46,14.25,43.95,41.91,6.36,8.09,12.08,31.56
173,40,14.13,9.81,17.56,18.51,41.93,7.08,8.62,18.56,23.81,38.96,7.63,8.18,14.99,30.24
177,10.9,0.87,7.24,29.81,51.18,8.79,0.53,3.21,25.07,62.4,11.74,1.73,5.61,22,58.91
180,4.02,1.23,6.96,37.96,49.83,6.95,0.55,5.51,28.9,58.09,12.34,3.94,6.46,24.3,52.95
181,16.64,0.49,6.85,28.84,47.18,9.88,1.59,2.77,20.74,65.01,10.22,0.7,4.8,21.61,62.68
182,17.94,0.52,1.79,19.93,59.83,11.17,1.57,2.67,22.45,62.15,7.21,0.46,3.8,22.46,66.07
184,14.01,0.4,2.33,18.62,64.64,8.78,1.09,5.08,26.01,59.04,5.42,0.66,6.81,26.61,60.49
186,15.57,5.8,0,5.14,73.48,6.6,10.34,0.99,5.66,76.41,2.69,6.09,1.17,5.61,84.44
200,0.1,0.02,14.12,56.21,29.54,0.2,0.4,16.96,47.11,35.33,3.82,1.99,23.19,35.36,35.64
201,0.26,0.72,4,47.05,47.97,5.88,1.64,17.29,40.8,34.39,2.06,0.97,19.85,32.28,44.84
